k,m,n,fout_hz,fvco_hz,vco_duty,logic_delay_ps,rise_fall_skew_ps,setup_min_ps,hold_min_ps,setup_violations,hold_violations,timing_valid,divider_raw_tie_fs,retimed_raw_tie_fs,retimer_added_raw_tie_fs,common_timing_gain,mean_output_duty_percent
9,14,126,216000000,3024000000,0.4,50,0,49.72294853319387,2210.020815705376,0,0,True,2993.6057773361536,161.08299238533394,57.82109536101116,1.00083990350838,49.99998807804311
9,14,126,216000000,3024000000,0.5,50,0,82.79173782230984,2176.952039926436,0,0,True,2993.6057773361536,161.0830309868291,57.82109536790242,1.0008401140933747,49.999988078042925
9,14,126,216000000,3024000000,0.6,50,0,115.86052710973175,2143.8832641508834,0,0,True,2993.6057773361536,161.08306959524123,57.821095369871365,1.0008403247536481,49.9999880780425
9,14,126,216000000,3024000000,0.5,50,4,82.79173782230984,2176.952039926436,0,0,True,2993.6057773361536,161.0830309167406,57.821095374315455,1.0008401135766423,50.08638807808185
9,14,126,216000000,3024000000,0.4,110,0,-10.277051465921257,2270.0208157061857,3742,0,False,2993.6057773494344,,,,
10,12,120,240000000,2880000000,0.4,50,0,56.911888516388544,1972.4676368766322,0,0,True,3019.3703111090836,162.01339244237536,58.00812574452793,1.0046376646623687,50.000003094055344
10,12,120,240000000,2880000000,0.5,50,0,91.63410287116254,1937.7454113749047,0,0,True,3019.3703111090836,162.01351368863544,58.00812575240224,1.0046375834298877,50.00000309405554
10,12,120,240000000,2880000000,0.6,50,0,126.35631722593654,1903.0231858697891,0,0,True,3019.3703111090836,162.0136349318963,58.00812575331193,1.0046375022187484,50.000003094055714
10,12,120,240000000,2880000000,0.5,50,4,91.63410287116254,1937.7454113749047,0,0,True,3019.3703111090836,162.0135136562783,58.00812575336777,1.0046375831962053,50.096003094592504
10,12,120,240000000,2880000000,0.4,110,0,-3.088111484420649,2032.4676368774415,26,0,False,3019.3703111025015,,,,
11,12,132,264000000,3168000000,0.4,50,0,44.2991027599121,1796.1377269459667,0,0,True,3001.006167843276,160.50051300379383,57.69720795502815,0.9973811901927279,50.00002535273601
11,12,132,264000000,3168000000,0.5,50,0,75.86475424179747,1764.5720657977413,0,0,True,3001.006167843276,160.50064831448066,57.69720796491633,0.9973812379584521,50.0000253527362
11,12,132,264000000,3168000000,0.6,50,0,107.43040572368284,1733.0064046495158,0,0,True,3001.006167843276,160.50078360737197,57.697207958512855,0.9973812856495642,50.000025352735435
11,12,132,264000000,3168000000,0.5,50,4,75.86475424179747,1764.5720657977413,0,0,True,3001.006167843276,160.50064824870162,57.69720796394321,0.9973812374927479,50.105625352065644
11,12,132,264000000,3168000000,0.4,110,0,-15.700897239203023,1856.1377269450818,14644,0,False,3001.006167839669,,,,
12,10,120,288000000,2880000000,0.4,50,0,57.631077969456186,1626.168024826565,0,0,True,3029.949461937158,161.80651706025048,58.0377912377936,0.9999943173255803,49.99999065968462
12,10,120,288000000,2880000000,0.5,50,0,92.353299183503,1591.4457986929508,0,0,True,3029.949461937158,161.80664527598324,58.03779123910683,0.9999943043883873,49.99999065968459
12,10,120,288000000,2880000000,0.6,50,0,127.0755203975498,1556.7235725627247,0,0,True,3029.949461937158,161.80677348201849,58.03779123895936,0.9999942914275421,49.999990659684535
12,10,120,288000000,2880000000,0.5,50,4,92.353299183503,1591.4457986929508,0,0,True,3029.949461937158,161.8066452319565,58.037791232387754,0.9999943040932147,50.115190660601584
12,10,120,288000000,2880000000,0.4,110,0,-2.3689220296589375,1686.16802482568,18,0,False,3029.949461920778,,,,
13,10,130,312000000,3120000000,0.4,50,0,47.33558639158619,1501.9754847567797,0,0,True,3003.9801942211598,160.7583387933661,57.94441622352988,1.000699963082337,50.000033759463214
13,10,130,312000000,3120000000,0.5,50,0,79.38687455421608,1469.924196292606,0,0,True,3003.9801942211598,160.75833516989616,57.94441621983244,1.0006999131123222,50.000033759463406
13,10,130,312000000,3120000000,0.6,50,0,111.43816271599893,1437.8729078292795,0,0,True,3003.9801942211598,160.7583315544799,57.94441621452924,1.000699863211141,50.00003375946284
13,10,130,312000000,3120000000,0.5,50,4,79.38687455421608,1469.924196292606,0,0,True,3003.9801942211598,160.7583351498097,57.94441621526102,1.0006999129803127,50.12483375905386
13,10,130,312000000,3120000000,0.4,110,0,-12.66441360837597,1561.9754847567417,11807,0,False,3003.980194211175,,,,
14,8,112,336000000,2688000000,0.4,50,0,66.99454781797378,1368.1485804407969,0,0,True,3014.418493421264,159.42005107975172,58.20012568492639,0.999020770270156,50.00002514188962
14,8,112,336000000,2688000000,0.5,50,0,104.19692502636917,1330.9461924251082,0,0,True,3014.418493421264,159.4201665047199,58.20012569172076,0.9990206741391832,50.00002514188986
14,8,112,336000000,2688000000,0.6,50,0,141.39930223476455,1293.7438044094192,0,0,True,3014.418493421264,159.4202819303274,58.200125680040756,0.9990205780048633,50.00002514188955
