k,m,n,fout_hz,fvco_hz,method,design_crossover_hz,window,high_hz,reference_fs,reference_buffer_fs,sampler_fs,charge_pump_fs,retimer_fs,output_buffer_fs,vco_fs,filter_resistor_fs,total_fs,below_200fs_in_hypothesis
9,14,126,216000000,3024000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,35.8755899385322,32.17567072105093,6.3213922517116385,6.3213922517116385,110.0313668217344,98.5166625733265,170.57996745965892,True
9,14,126,216000000,3024000000,hybrid,1000000,10k_to_fout_over_2,108000000.0,59.55090123147262,36.728566609320616,35.92216609632175,32.21744338929291,20.783647418102536,20.783647418102536,112.94138508567879,98.67059554028613,174.8691682590051,True
10,12,120,240000000,2880000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,37.669369435458805,33.78445425710346,6.3213922517116385,6.3213922517116385,115.53293516282112,103.44249570199281,177.6832542391493,True
10,12,120,240000000,2880000000,hybrid,1000000,10k_to_fout_over_2,120000000.0,59.55091642351714,36.72857620772207,37.71828425818302,33.828324399226524,21.907989410258544,21.907989410258544,118.70777057275916,103.60416381026666,182.33924977729552,True
11,12,132,264000000,3168000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,34.24488130496255,30.71314023373042,6.3213922517116385,6.3213922517116385,105.02994105711011,94.0386324563571,164.174665709527,True
11,12,132,264000000,3168000000,hybrid,1000000,10k_to_fout_over_2,132000000.0,59.550926118404405,36.7285823301767,34.289355041469626,30.753027307477172,22.977380181387108,22.977380181387108,108.0209475905657,94.18562762997564,169.15137507479741,True
12,10,120,288000000,2880000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,37.669369435458805,33.78445425710346,6.3213922517116385,6.3213922517116385,115.53293516282112,103.44249570199281,177.6832542391493,True
12,10,120,288000000,2880000000,hybrid,1000000,10k_to_fout_over_2,144000000.0,59.5509325643813,36.7285864026478,37.7182947278267,33.82833378911553,23.999166652198586,23.999166652198586,118.93524304049369,103.60420817229408,183.01276605924684,True
13,10,130,312000000,3120000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,34.7717256327312,31.18565008348012,6.3213922517116385,6.3213922517116385,106.64578630414255,95.48538064799337,166.23825792528493,True
13,10,130,312000000,3120000000,hybrid,1000000,10k_to_fout_over_2,156000000.0,59.55093692517325,36.72858915662524,34.816890051705485,31.226156608270745,24.979191339993395,24.979191339993395,109.88776542832944,95.63466572771868,171.90643478120003,True
14,8,112,336000000,2688000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,40.36003868084872,36.19762956118228,6.3213922517116385,6.3213922517116385,123.7852876744512,110.8312453949923,188.43652134903456,True
14,8,112,336000000,2688000000,hybrid,1000000,10k_to_fout_over_2,168000000.0,59.550939960994214,36.728591074572186,40.412463777474926,36.2446479558471,25.922191265400397,25.922191265400397,127.66396806590848,111.00453265966463,194.43806366011248,True
15,8,120,360000000,2880000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,37.669369435458805,33.78445425710346,6.3213922517116385,6.3213922517116385,115.53293516282112,103.44249570199281,177.6832542391493,True
15,8,120,360000000,2880000000,hybrid,1000000,10k_to_fout_over_2,180000000.0,59.55094209452437,36.72859242198846,37.71830090936774,33.828339333142246,26.83207036365253,26.83207036365253,119.25947875527186,103.60423757610332,184.00791365557777,True
16,8,128,384000000,3072000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,35.315033845742626,31.6729258660345,6.3213922517116385,6.3213922517116385,108.3121267151448,96.97733972061826,168.37222493865306,True
16,8,128,384000000,3072000000,hybrid,1000000,10k_to_fout_over_2,192000000.0,59.55094362545758,36.72859338917637,35.3609080337044,31.714068959959395,27.71209122386834,27.71209122386834,111.90438545317396,97.12897768359838,175.05436365743222,True
17,8,136,408000000,3264000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,33.23767891364012,29.809812579797175,6.3213922517116385,6.3213922517116385,101.94082514366568,91.27279032528779,160.24600269538573,True
17,8,136,408000000,3264000000,hybrid,1000000,10k_to_fout_over_2,204000000.0,59.550944728641895,36.72859408589331,33.28085525127271,29.848536057933313,28.565013565549037,28.565013565549037,105.41367866495168,91.41551208874935,167.31591249126296,True
18,8,144,432000000,3456000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,31.391141196215667,28.153711880919552,6.3213922517116385,6.3213922517116385,96.27744596901758,86.20207975166068,153.10434175296496,True
18,8,144,432000000,3456000000,hybrid,1000000,10k_to_fout_over_2,216000000.0,59.55094553594798,36.72859459591552,31.431919284895493,28.19028444617193,29.393196491705357,29.393196491705357,99.6434328626381,86.3368752117444,160.58876734156786,True
19,6,114,456000000,2736000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,39.65196782679874,35.56258342852997,6.3213922517116385,6.3213922517116385,121.61361596086435,108.88683758104507,185.59620132866797,True
