k,m,n,fout_hz,fvco_hz,method,design_crossover_hz,window,high_hz,reference_fs,reference_buffer_fs,sampler_fs,charge_pump_fs,retimer_fs,output_buffer_fs,vco_fs,filter_resistor_fs,total_fs,below_200fs_in_hypothesis,vco_l1mhz_dbc_hz,reference_asd_as_sqrt_hz
14,8,112,336000000,2688000000,hybrid,1000000,10k_to_fout_over_2,168000000.0,29.775469980497107,36.728591074572186,40.412463777474926,36.2446479558471,25.922191265400397,25.922191265400397,77.16923020406665,111.00453265966463,157.49103501523643,True,-125,20
15,8,120,360000000,2880000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,37.669369435458805,33.78445425710346,6.3213922517116385,6.3213922517116385,68.61627119136463,103.44249570199281,142.40316670623093,True,-125,20
15,8,120,360000000,2880000000,hybrid,1000000,10k_to_fout_over_2,180000000.0,29.775471047262187,36.72859242198846,37.71830090936774,33.828339333142246,26.83207036365253,26.83207036365253,72.19013045764964,103.60423757610332,148.95559043598482,True,-125,20
16,8,128,384000000,3072000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,35.315033845742626,31.6729258660345,6.3213922517116385,6.3213922517116385,64.32775424190434,96.97733972061826,134.54641871532593,True,-125,20
16,8,128,384000000,3072000000,hybrid,1000000,10k_to_fout_over_2,192000000.0,29.77547181272879,36.72859338917637,35.3609080337044,31.714068959959395,27.71209122386834,27.71209122386834,67.83250846887283,97.12897768359838,141.64374956920577,True,-125,20
17,8,136,408000000,3264000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,33.23767891364012,29.809812579797175,6.3213922517116385,6.3213922517116385,60.54376869826291,91.27279032528779,127.66905248784873,True,-125,20
17,8,136,408000000,3264000000,hybrid,1000000,10k_to_fout_over_2,204000000.0,29.775472364320947,36.72859408589331,33.28085525127271,29.848536057933313,28.565013565549037,28.565013565549037,63.98678387575723,91.41551208874935,135.34084073299465,True,-125,20
18,8,144,432000000,3456000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,31.391141196215667,28.153711880919552,6.3213922517116385,6.3213922517116385,57.180225992803855,86.20207975166068,121.60658120331266,True,-125,20
18,8,144,432000000,3456000000,hybrid,1000000,10k_to_fout_over_2,216000000.0,29.77547276797399,36.72859459591552,31.431919284895493,28.19028444617193,29.393196491705357,29.393196491705357,60.56772157688673,86.3368752117444,129.879371129442,True,-125,20
19,6,114,456000000,2736000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,39.65196782679874,35.56258342852997,6.3213922517116385,6.3213922517116385,72.22765388564699,108.88683758104507,149.06341547293832,True,-125,20
19,6,114,456000000,2736000000,hybrid,1000000,10k_to_fout_over_2,228000000.0,29.775473063480565,36.7285949691731,39.70347739493703,35.60878071493665,30.198675467642627,30.198675467642627,76.67733319743817,109.05710827145874,157.0882113865391,True,-125,20
20,6,120,480000000,2880000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,37.669369435458805,33.78445425710346,6.3213922517116385,6.3213922517116385,68.61627119136463,103.44249570199281,142.40316670623093,True,-125,20
20,6,120,480000000,2880000000,hybrid,1000000,10k_to_fout_over_2,240000000.0,29.775473282291042,36.72859524564234,37.71830380910932,33.8283419338278,30.983221265710906,30.983221265710906,73.0050231345664,103.60425492517086,150.95062344889226,True,-125,20
21,6,126,504000000,3024000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,35.8755899385322,32.17567072105093,6.3213922517116385,6.3213922517116385,65.34882970606157,98.5166625733265,136.41144616163712,True,-125,20
21,6,126,504000000,3024000000,hybrid,1000000,10k_to_fout_over_2,252000000.0,29.77547344386544,36.72859544972949,35.922194303519916,32.217468687427925,31.748385785737202,31.748385785737202,69.68187706719219,98.67072059977771,145.50372149882676,True,-125,20
22,6,132,528000000,3168000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,34.24488130496255,30.71314023373042,6.3213922517116385,6.3213922517116385,62.37842835578604,94.0386324563571,130.99652725393528,True,-125,20
22,6,132,528000000,3168000000,hybrid,1000000,10k_to_fout_over_2,264000000.0,29.775473564149486,36.72859560170931,34.289367431610025,30.75303841979828,32.49553815526063,32.49553815526063,66.66032333743341,94.18568910421897,140.65397751660126,True,-125,20
23,6,138,552000000,3312000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,32.75597342213809,29.377786310524755,6.3213922517116385,6.3213922517116385,59.66632277509969,89.94999626260245,126.08262600400877,True,-125,20
23,6,138,552000000,3312000000,hybrid,1000000,10k_to_fout_over_2,276000000.0,29.775473653190595,36.72859571417858,32.79852546980084,29.415949882927215,33.22589351695453,33.22589351695453,63.90104456698402,90.09066015222226,136.3238808805353,True,-125,20
24,6,144,576000000,3456000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,31.391141196215667,28.153711880919552,6.3213922517116385,6.3213922517116385,57.180225992803855,86.20207975166068,121.60658120331266,True,-125,20
24,6,144,576000000,3456000000,hybrid,1000000,10k_to_fout_over_2,288000000.0,29.7754737194468,36.72859579789388,31.431920313535084,28.190285368725892,33.940536236188144,33.940536236188144,61.371282779361934,86.33688344680142,132.44862468731088,True,-125,20
25,6,150,600000000,3600000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,30.135495548367036,27.02756340568277,6.3213922517116385,6.3213922517116385,54.8930169530917,82.75399656159425,117.51533129045812,True,-125,20
25,6,150,600000000,3600000000,hybrid,1000000,10k_to_fout_over_2,300000000.0,29.775473768326354,36.72859585963431,30.174643551716983,27.062673999468963,34.64043879629701,34.64043879629701,59.04351058910577,82.88340876196571,128.97356946332954,True,-125,20
26,6,156,624000000,3744000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,28.976438027276,25.988041736233434,6.3213922517116385,6.3213922517116385,52.78174707028049,79.57115053999448,113.76397343476448,True,-125,20
26,6,156,624000000,3744000000,hybrid,1000000,10k_to_fout_over_2,312000000.0,29.775473804467183,36.728595905298754,29.014080374262438,26.021801954919077,35.326477322257865,35.326477322257865,56.89443827843631,79.69558587672856,125.85230689047478,True,-125,20
27,6,162,648000000,3888000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,27.903236618858372,25.02552167192849,6.3213922517116385,6.3213922517116385,50.82686754915899,76.62407089036505,110.31425387961023,True,-125,20
27,6,162,648000000,3888000000,hybrid,1000000,10k_to_fout_over_2,324000000.0,29.77547383086876,36.72859593864675,27.93948483021318,25.058031534895914,35.99944444015768,35.99944444015768,54.90422169811401,76.74389794835956,123.0451453371589,True,-125,20
28,4,112,672000000,2688000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,40.36003868084872,36.19762956118228,6.3213922517116385,6.3213922517116385,73.51743341931926,110.8312453949923,151.4507432669801,True,-125,20
28,4,112,672000000,2688000000,hybrid,1000000,10k_to_fout_over_2,336000000.0,29.77547385013331,36.72859596298798,40.41246915619812,36.24465277985209,36.660060010861955,36.660060010861955,79.58377706267865,111.00456721563907,162.86780724605634,True,-125,20
29,4,116,696000000,2784000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,38.96831320909531,34.94943543838289,6.3213922517116385,6.3213922517116385,70.98234950830825,107.00947831240636,146.76260905905266,True,-125,20
29,4,116,696000000,2784000000,hybrid,1000000,10k_to_fout_over_2,348000000.0,29.77547386395907,36.72859598045121,39.01893575557107,34.994837183392605,37.30898015223679,37.30898015223679,77.0019941904498,107.17682397135368,158.69084185736952,True,-125,20
