k,window,temperature_c,thermal_only_total_fs,is_PVT_verification
33,10k_to_fout_over_2,27,176.54681676148311,False
34,10k_to_10M,27,160.24600269538573,False
34,10k_to_fout_over_2,27,173.04329440261168,False
35,10k_to_10M,27,156.56282992786643,False
35,10k_to_fout_over_2,27,169.79468810393476,False
36,10k_to_10M,27,153.10434175296496,False
36,10k_to_fout_over_2,27,166.77951391556323,False
37,10k_to_10M,27,149.85198189188327,False
37,10k_to_fout_over_2,27,163.9785711757301,False
38,10k_to_10M,27,146.78914789060968,False
38,10k_to_fout_over_2,27,161.3746442504141,False
39,10k_to_10M,27,143.90094101647742,False
39,10k_to_fout_over_2,27,158.95225116774466,False
40,10k_to_10M,27,141.17395364842997,False
40,10k_to_fout_over_2,27,156.6974293010174,False
41,10k_to_10M,27,138.59608775969875,False
41,10k_to_fout_over_2,27,154.59755270691113,False
9,10k_to_10M,60,174.0864899743069,False
9,10k_to_fout_over_2,60,178.30174310238607,False
10,10k_to_10M,60,181.39404359318567,False
10,10k_to_fout_over_2,60,185.9681365888283,False
11,10k_to_10M,60,167.49485857579182,False
11,10k_to_fout_over_2,60,172.38553173946025,False
12,10k_to_10M,60,181.39404359318567,False
12,10k_to_fout_over_2,60,186.62856012705973,False
13,10k_to_10M,60,169.61871687105403,False
13,10k_to_fout_over_2,60,175.18748661362582,False
14,10k_to_10M,60,192.45241624294837,False
14,10k_to_fout_over_2,60,198.34430300333344,False
15,10k_to_10M,60,181.39404359318567,False
15,10k_to_fout_over_2,60,187.60453065812257,False
16,10k_to_10M,60,171.81476578227182,False
16,10k_to_fout_over_2,60,178.37805475710292,False
17,10k_to_10M,60,163.45079962929543,False
17,10k_to_fout_over_2,60,170.3971229796676,False
18,10k_to_10M,60,156.09695402766351,False
18,10k_to_fout_over_2,60,163.4530834520292,False
19,10k_to_10M,60,189.53195022773843,False
19,10k_to_fout_over_2,60,196.99554461439737,False
20,10k_to_10M,60,181.39404359318567,False
20,10k_to_fout_over_2,60,189.2063926810029,False
21,10k_to_10M,60,174.0864899743069,False
21,10k_to_fout_over_2,60,182.2702376775314,False
22,10k_to_10M,60,167.49485857579182,False
22,10k_to_fout_over_2,60,176.07060223262897,False
23,10k_to_10M,60,161.52460960876604,False
23,10k_to_fout_over_2,60,170.51108084782012,False
24,10k_to_10M,60,156.09695402766351,False
24,10k_to_fout_over_2,60,165.51118049206644,False
25,10k_to_10M,60,151.14570671281837,False
25,10k_to_fout_over_2,60,161.003143967555,False
26,10k_to_10M,60,146.61486562392042,False
26,10k_to_fout_over_2,60,156.92951765329494,False
27,10k_to_10M,60,142.45672870463562,False
27,10k_to_fout_over_2,60,153.24125223741876,False
28,10k_to_10M,60,192.45241624294837,False
28,10k_to_fout_over_2,60,202.6719952765083,False
29,10k_to_10M,60,186.71901594808054,False
29,10k_to_fout_over_2,60,197.30011277623439,False
30,10k_to_10M,60,181.39404359318567,False
30,10k_to_fout_over_2,60,192.3500903554828,False
31,10k_to_10M,60,176.43759881017365,False
31,10k_to_fout_over_2,60,187.78115727023055,False
32,10k_to_10M,60,171.81476578227182,False
32,10k_to_fout_over_2,60,183.5575769129711,False
33,10k_to_10M,60,167.49485857579182,False
33,10k_to_fout_over_2,60,179.6478885548636,False
34,10k_to_10M,60,163.45079962929543,False
34,10k_to_fout_over_2,60,176.0242796035873,False
35,10k_to_10M,60,159.65860476773972,False
35,10k_to_fout_over_2,60,172.66206865513487,False
36,10k_to_10M,60,156.09695402766351,False
36,10k_to_fout_over_2,60,169.53927214012197,False
37,10k_to_10M,60,152.74683205832397,False
37,10k_to_fout_over_2,60,166.6362433395251,False
38,10k_to_10M,60,149.5912252817463,False
38,10k_to_fout_over_2,60,163.93536691301043,False
39,10k_to_10M,60,146.61486562392042,False
39,10k_to_fout_over_2,60,161.42080143043117,False
40,10k_to_10M,60,143.8040126670489,False
40,10k_to_fout_over_2,60,159.07825989318104,False
41,10k_to_10M,60,141.14626766312296,False
41,10k_to_fout_over_2,60,156.89482267629458,False
