time_us,unwrapped_phase_rad,control_deviation_v
0.0,0.5,0.0
0.04166666666666667,0.6812031781345123,-0.0026257908949311307
0.08333333333333334,0.7999289521513913,-0.004625021206174655
0.125,0.8738765357539695,-0.006140656746241671
0.16666666666666669,0.9151518929919258,-0.007324631171315579
0.20833333333333334,0.9317194706451866,-0.00828879766631489
0.25,0.9289274492888537,-0.00910278752948017
0.29166666666666663,0.9106204302832073,-0.009805522195368423
0.33333333333333337,0.8798380664194723,-0.010416706436300395
0.375,0.8392119969746341,-0.010945209295499603
0.4166666666666667,0.7911631219897313,-0.011394658131065296
0.4583333333333333,0.7379708314657347,-0.011767084365150783
0.5,0.6817637846060125,-0.012065203626842384
0.5416666666666666,0.6244696175012073,-0.012293635996968613
0.5833333333333333,0.5677534391252681,-0.012459249718035349
0.625,0.5129677270249746,-0.012570820010777216
0.6666666666666667,0.4611275448792273,-0.01263825142557305
0.7083333333333334,0.4129156747519125,-0.012671641491636187
0.75,0.36871426658369333,-0.012680429585311643
0.7916666666666666,0.32865460906815214,-0.012672788076662842
0.8333333333333334,0.29267507994302466,-0.012655309612456008
0.875,0.26057853527428465,-0.01263296080020676
0.9166666666666666,0.23208306960180586,-0.01260922654235012
0.9583333333333334,0.20686301269911753,-0.012586359369895392
1.0,0.18457944435456497,-0.012565661849097217
1.0416666666666667,0.16490110254368673,-0.012547753420786519
1.0833333333333333,0.14751736866765952,-0.012532795772596021
1.125,0.1321452352884092,-0.01252066809965094
1.1666666666666665,0.11853202581881533,-0.012511094365626805
1.2083333333333333,0.10645533014775432,-0.012503730008511538
1.25,0.09572127163828134,-0.012498217172958992
1.2916666666666667,0.08616189991180931,-0.01249421708175205
1.3333333333333335,0.07763224072835084,-0.012491426737006687
1.375,0.07000733507982915,-0.012489585478396167
1.4166666666666667,0.06317945788120125,-0.012488475391362552
1.4583333333333333,0.05705561118896196,-0.012487918302574032
1.5,0.05155532605240315,-0.012487771148070573
1.5416666666666665,0.04660877077719522,-0.012487920817861561
1.5833333333333333,0.042155143566543846,-0.012488279114932716
