design_crossover_hz,combined_kpd_kv_gain_scale_fixed_RC,extra_sample_delay,sampled_radius,stable
200000,0.5,0,0.9860535419998684,True
200000,0.5,1,0.9858227749639523,True
200000,0.75,0,0.9769837747430726,True
200000,0.75,1,0.9758980711583557,True
200000,1,0,0.9802387175609512,True
200000,1,1,0.9805960062160581,True
200000,1.5,0,0.9839819007154572,True
200000,1.5,1,0.984056473065247,True
200000,2,0,0.9850056909954594,True
200000,2,1,0.9850454975195279,True
400000,0.5,0,0.9722417618636237,True
400000,0.5,1,0.9712918721406948,True
400000,0.75,0,0.9542755383504447,True
400000,0.75,1,0.9494341102198426,True
400000,1,0,0.9609863672490051,True
400000,1,1,0.9622694764924986,True
400000,1.5,0,0.9682547037139319,True
400000,1.5,1,0.9685397540025326,True
400000,2,0,0.9702596574845268,True
400000,2,1,0.9704132783146935,True
600000,0.5,0,0.958536046441357,True
600000,0.5,1,0.9563264199974424,True
600000,0.75,0,0.9317944202348768,True
600000,0.75,1,0.9191968444614127,True
600000,1,0,0.9422865606421407,True
600000,1,1,0.9448875394799121,True
600000,1.5,0,0.952835844547932,True
600000,1.5,1,0.9534477674919932,True
600000,2,0,0.9557751869380061,True
600000,2,1,0.9561081332224748,True
800000,0.5,0,0.9449075939466557,True
800000,0.5,1,0.9408252737034789,True
800000,0.75,0,0.9094593311991132,True
800000,0.75,1,0.8815937409027672,True
800000,1,0,0.9241753055238906,True
800000,1,1,0.928351494570245,True
800000,1.5,0,0.9377414248512349,True
800000,1.5,1,0.9387777485367762,True
800000,2,0,0.9415647535895685,True
800000,2,1,0.9421340147108509,True
1000000,0.5,0,0.9313276873010266,True
1000000,0.5,1,0.9246606819238271,True
1000000,0.75,0,0.8871889390137159,True
1000000,0.75,1,0.876816856273854,True
1000000,1,0,0.9066796535243451,True
1000000,1,1,0.9125841369894395,True
1000000,1.5,0,0.9229856713385518,True
1000000,1.5,1,0.9245259432335324,True
1000000,2,0,0.9276396193363889,True
1000000,2,1,0.928493767149905,True
1200000,0.5,0,0.9177679354038928,True
1200000,0.5,1,0.9076695845863793,True
1200000,0.75,0,0.8649015116398858,True
1200000,0.75,1,0.8655263202610812,True
1200000,1,0,0.8898170688290891,True
1200000,1,1,0.8975224524066568,True
1200000,1.5,0,0.9085804966261962,True
1200000,1.5,1,0.9106874065845031,True
1200000,2,0,0.9140094972237651,True
1200000,2,1,0.9151889253555144,True
1600000,0.5,0,0.8905981280483167,True
1600000,0.5,1,0.870314207141667,True
1600000,0.75,0,0.819944479799981,True
1600000,0.75,1,0.84036794067253,True
1600000,1,0,0.8580139142751784,True
1600000,1,1,0.869309952054864,True
1600000,1.5,0,0.8808561901324471,True
1600000,1.5,1,0.8842238328038599,True
1600000,2,0,0.8876639283184049,True
1600000,2,1,0.9759979727713628,True
2400000,0.5,0,0.8353249841908238,True
2400000,0.5,1,0.7814461373981586,True
2400000,0.75,0,0.7260598323472023,True
2400000,0.75,1,0.793882288635167,True
2400000,1,0,0.8018202885976787,True
2400000,1,1,0.8787653010241547,True
2400000,1.5,0,0.8298341152070567,True
2400000,1.5,1,1.037988088368053,False
2400000,2,0,0.8387254888504541,True
2400000,2,1,1.1775818710991424,False
4000000,0.5,0,0.7157799853886546,True
4000000,0.5,1,0.8689411980582809,True
4000000,0.75,0,0.646385462612305,True
4000000,0.75,1,1.0088063626941033,False
4000000,1,0,0.7136284290143974,True
4000000,1,1,1.144550171853997,False
4000000,1.5,0,0.7442604766508081,True
4000000,1.5,1,1.3816711162547424,False
4000000,2,0,1.1385927698040852,False
4000000,2,1,1.5852535765310958,False
