k,m,n,fout_hz,fvco_hz,method,design_crossover_hz,window,high_hz,reference_fs,reference_buffer_fs,sampler_fs,charge_pump_fs,retimer_fs,output_buffer_fs,vco_fs,filter_resistor_fs,total_fs,below_200fs_in_hypothesis
21,6,126,504000000,3024000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,35.25797350435636,31.621750268397772,6.3213922517116385,6.3213922517116385,106.19241835798695,97.91456077063724,167.04955080355296,True
21,6,126,504000000,3024000000,continuous,1000000,10k_to_fout_over_2,252000000.0,58.541179129131905,36.093569541269034,35.30111081823647,31.660438747376766,31.748385785737202,31.748385785737202,110.45853907704681,98.06360260562032,175.53303459396423,True
22,6,132,528000000,3168000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,33.65533834506743,30.1843979834706,6.3213922517116385,6.3213922517116385,101.36549025080573,93.46389891742646,160.7875754085249,True
22,6,132,528000000,3168000000,continuous,1000000,10k_to_fout_over_2,264000000.0,58.54117972233033,36.09356991708467,33.696515222809865,30.2213282098956,32.49553815526063,32.49553815526063,105.53242734700275,93.60616733604552,169.67535800659775,True
23,6,138,552000000,3312000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,32.19206276484711,28.872032853754487,6.3213922517116385,6.3213922517116385,96.95829502250983,89.40025113840792,155.1181510134132,True
23,6,138,552000000,3312000000,continuous,1000000,10k_to_fout_over_2,276000000.0,58.54118021682237,36.09357023036627,32.23144962331679,28.907357669068396,33.22589351695453,33.22589351695453,101.0342648319946,89.53633494040793,164.42905828983893,True
24,6,144,576000000,3456000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,30.850726816311806,27.669031484848045,6.3213922517116385,6.3213922517116385,92.91836606323858,85.67524067430757,149.96604274048246,True
24,6,144,576000000,3456000000,continuous,1000000,10k_to_fout_over_2,288000000.0,58.5411806323133,36.09357049359774,30.888472780949154,27.702884634895174,33.940536236188144,33.940536236188144,96.91059808405163,85.80565509638593,159.71711773057928,True
25,6,150,600000000,3600000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,29.616697743659333,26.562270225454125,6.3213922517116385,6.3213922517116385,89.20163142070903,82.24823104733527,145.26805310760747,True
25,6,150,600000000,3600000000,continuous,1000000,10k_to_fout_over_2,300000000.0,58.54118098397015,36.09357071638787,29.65293405274603,26.594769413657488,34.64043879629701,34.64043879629701,93.11652005490593,82.37342952506647,155.47469946912824,True
26,6,156,624000000,3744000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,28.47759398428782,25.540644447552044,6.3213922517116385,6.3213922517116385,85.77079944298946,79.08483754551469,140.97071027342403,True
26,6,156,624000000,3744000000,continuous,1000000,10k_to_fout_over_2,312000000.0,58.54118128359565,36.093570906214104,28.51243673913379,25.571893801468125,35.326477322257865,35.326477322257865,89.61402769530198,79.20522121539692,151.646818614146,True
27,6,162,648000000,3888000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,27.42286828116605,24.594694653198264,6.3213922517116385,6.3213922517116385,82.59410316732318,76.1557694882734,137.0284697593503,True
27,6,162,648000000,3888000000,continuous,1000000,10k_to_fout_over_2,324000000.0,58.54118154046763,36.09357106895427,27.456420687406965,24.624786734665218,35.99944444015768,35.99944444015768,86.37074428957962,76.27169493153487,148.1865307111963,True
28,4,112,672000000,2688000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,39.665220192400895,35.57446905194748,6.3213922517116385,6.3213922517116385,119.46647065273531,110.15388086696689,184.50850747834878,True
28,4,112,672000000,2688000000,continuous,1000000,10k_to_fout_over_2,336000000.0,58.541181761947705,36.09357120927221,39.71375150581973,35.617995236824136,36.660060010861955,36.660060010861955,125.03837309833177,110.32155927380651,195.11278962631397,True
29,4,116,696000000,2784000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,38.297453978869825,34.34776322256999,6.3213922517116385,6.3213922517116385,115.34693718195133,106.35547118189906,179.05660473049198,True
29,4,116,696000000,2784000000,continuous,1000000,10k_to_fout_over_2,348000000.0,58.54118195392709,36.093571330900204,38.34431192793504,34.38978862040645,37.30898015223679,37.30898015223679,120.83191861626068,106.51736802124537,190.03415993243073,True
30,4,120,720000000,2880000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,37.02087217957418,33.20283778181766,6.3213922517116385,6.3213922517116385,111.5020392758863,102.8102888091691,173.99435442502607,True
30,4,120,720000000,2880000000,continuous,1000000,10k_to_fout_over_2,360000000.0,58.541182121158606,36.09357143684938,37.06616830580801,33.24346243064252,37.946804872083746,37.946804872083746,116.90564292724167,102.96678946321177,185.35871603745733,True
31,4,124,744000000,2976000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,35.8266504963621,32.131778498533215,6.3213922517116385,6.3213922517116385,107.9051992992448,99.49382787984105,169.28365428367243,True
31,4,124,744000000,2976000000,continuous,1000000,10k_to_fout_over_2,372000000.0,58.54118226750465,36.093571529566724,35.87048554937781,32.1710927574566,38.57408456464001,38.57408456464001,113.23244784421678,99.64528044412313,181.04744137759963,True
32,4,128,768000000,3072000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,34.70706766835079,31.127660420454053,6.3213922517116385,6.3213922517116385,104.53316182114341,96.38464575859602,164.89116215884783,True
32,4,128,768000000,3072000000,continuous,1000000,10k_to_fout_over_2,384000000.0,58.54118239612669,36.09357161105507,34.74953295441368,31.165746179148876,39.19132557084538,39.19132557084538,109.7886205542233,96.5313657013672,177.06613309947858,True
33,4,132,792000000,3168000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,33.65533834506743,30.1843979834706,6.3213922517116385,6.3213922517116385,101.36549025080573,93.46389891742646,160.7875754085249,True
33,4,132,792000000,3168000000,continuous,1000000,10k_to_fout_over_2,396000000.0,58.541182509628506,36.0935716829641,33.696516871413316,30.221329688475347,39.79899496218464,39.79899496218464,106.5533209592523,93.60617303332691,173.3846758547434,True
34,4,136,816000000,3264000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,32.66547545256544,29.29662157219205,6.3213922517116385,6.3213922517116385,98.3841523022526,90.71496071397273,156.94703741718195,True
34,4,136,816000000,3264000000,continuous,1000000,10k_to_fout_over_2,408000000.0,58.541182610168256,36.09357174666107,32.70544290350119,29.33246710234417,40.397524676643215,40.397524676643215,103.50815944357619,90.85305049651477,169.97644384023266,True
35,4,140,840000000,3360000000,continuous,1000000,10k_to_10M,10000000,58.47151328618431,36.04946385727594,31.732176153920715,28.459575241557992,6.3213922517116385,6.3213922517116385,95.57317652218825,88.12310469357352,153.34664583271035,True
35,4,140,840000000,3360000000,continuous,1000000,10k_to_fout_over_2,420000000.0,58.541182699544756,36.09357180328559,31.771001727530052,28.494396658408498,40.987315110897384,40.987315110897384,100.63684698339472,88.2572492260064,166.81780540691227,True
