k,m,n,fout_hz,fvco_hz,method,design_crossover_hz,window,high_hz,reference_fs,reference_buffer_fs,sampler_fs,charge_pump_fs,retimer_fs,output_buffer_fs,vco_fs,filter_resistor_fs,total_fs,below_200fs_in_hypothesis
9,14,126,216000000,3024000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,15.67275760850687,14.056395698751645,6.3213922517116385,6.3213922517116385,288.3585756387096,98.27399390277884,307.10263153966395,False
9,14,126,216000000,3024000000,hybrid,200000,10k_to_fout_over_2,108000000.0,26.90109643042509,16.02475536298946,15.6729210242621,14.05654226112288,20.783647418102536,20.783647418102536,289.4519463935479,98.27524451942669,309.3995177173692,False
10,12,120,240000000,2880000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,16.456395488932213,14.759215483689225,6.3213922517116385,6.3213922517116385,302.7765044206451,103.18769359791779,322.28918973326995,False
10,12,120,240000000,2880000000,hybrid,200000,10k_to_fout_over_2,120000000.0,26.90109647721873,16.024755393561364,16.456567106870914,14.759369402336825,21.907989410258544,21.907989410258544,303.9711353986231,103.18900703203758,324.7698595790312,False
11,12,132,264000000,3168000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,14.960359535392922,13.417468621535662,6.3213922517116385,6.3213922517116385,275.2513676551319,93.80699417992525,293.3040590585717,False
11,12,132,264000000,3168000000,hybrid,200000,10k_to_fout_over_2,132000000.0,26.90109650750927,16.024755413329554,14.96051557015617,13.417608564130934,22.977380181387108,22.977380181387108,276.3783460808534,93.80818838674422,296.0155357677353,False
12,10,120,288000000,2880000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,16.456395488932213,14.759215483689225,6.3213922517116385,6.3213922517116385,302.7765044206451,103.18769359791779,322.28918973326995,False
12,10,120,288000000,2880000000,hybrid,200000,10k_to_fout_over_2,144000000.0,26.90109652736975,16.024755426304186,16.45656714049603,14.759369432494122,23.999166652198586,23.999166652198586,304.0600651383038,103.1890073583777,325.14847965269513,False
13,10,130,312000000,3120000000,hybrid,200000,10k_to_10M,10000000,26.90084117640586,16.02458827878764,15.190518912860503,13.623891215713131,6.3213922517116385,6.3213922517116385,279.4860040805954,95.25017870577025,297.76122645942706,False
13,10,130,312000000,3120000000,hybrid,200000,10k_to_fout_over_2,156000000.0,26.90109654097476,16.024755435183696,15.190677368875216,13.624033329851509,24.979191339993395,24.979191339993395,280.71051297232407,95.25139149613611,300.858725019066,False
