corner,K,M,target_vco_MHz,code,frequency_at_0p2V_MHz,frequency_at_1V_MHz,nearest_endpoint_margin_MHz,vco_power_max_mW,measured_branch_power_max_mW
tt,39,4,3744.0,28,3734.035630074927,3760.702476761079,9.96436992507267,1.6217753210782677,2.5756832770717093
tt,40,4,3840.0,17,3823.5211733347414,3852.0142071101727,12.014207110172748,1.5995737530611227,2.5552245710048207
tt,41,4,3936.0,6,3920.9741201314864,3951.7512132453758,15.025879868513584,1.5562385067315556,2.5134258024076996
ss,9,14,3024.0,151,3015.5849787460475,3030.5858407400897,6.5858407400898935,1.9439030211116737,3.1593666640445712
ss,10,12,2880.0,187,2872.329583543991,2885.3665001658073,5.366500165807247,2.0503889392744785,3.125949600673753
ss,11,12,3168.0,120,3155.6351984353055,3172.767448835902,4.767448835902214,1.8691613554542628,2.9469229397058196
ss,12,10,2880.0,187,2872.7732504799915,2885.834798353336,5.834798353335858,2.050681398201083,2.987464917993101
ss,13,10,3120.0,129,3110.4991604098373,3126.917072857339,6.917072857338906,1.9027336257709968,2.8403081760569937
ss,14,8,2688.0,243,2682.1552800545137,2692.8623886711976,4.862388671197891,2.2051309197854447,3.294009975859778
ss,15,8,2880.0,187,2872.2718289576223,2885.3151116131853,5.3151116131854055,2.050415246209284,3.141123796849548
ss,16,8,3072.0,139,3067.2306879062116,3083.0139196530927,4.769312093788624,1.9234220241871556,3.0159016502026255
ss,17,8,3264.0,100,3256.5919084087614,3275.3428531176364,7.408091591238499,1.8067453116543304,2.900871774932562
ss,18,8,3456.0,67,3450.5652537660444,3472.798426171603,5.4347462339558605,1.7213163557322948,2.817345498452943
ss,19,6,2736.0,228,2727.6065171874416,2738.8791184827624,2.879118482762337,2.1642770060660452,3.0433355155802446
ss,20,6,2880.0,187,2873.1503366791076,2886.224230517103,6.224230517103195,2.0509328551865798,2.93310796006148
ss,21,6,3024.0,151,3016.285417578208,3031.303424799651,7.303424799651146,1.9444047223131358,2.827184745775483
ss,22,6,3168.0,121,3153.3836837203094,3170.5092738253325,2.5092738253326416,1.8697710332170465,2.754648740013686
ss,23,6,3312.0,93,3299.54823503229,3319.0367257846165,7.03672578461647,1.784124654100945,2.670148151898347
ss,24,6,3456.0,68,3441.5853762232955,3463.668761430547,7.668761430546761,1.7214723355225092,2.6086826648571875
ss,25,6,3600.0,47,3588.8607125516864,3613.8226852444536,11.139287448313713,1.6519942109513042,2.54194459215575
