k,fout_hz,frequency_error_ppm,duty_percent,selected_code,final_ctrl_v,phase_sine_max,lock_first_us,handoff_first_us,reacquisitions,counted_output_edges,setup_hold_violations,track_window_vco_range_hz
9,216000000.00005358,2.4802382370125997e-07,50.0000000158486,148.0,0.7007398839052866,8.601294121390879e-09,15.709999999999939,11.759999999999899,0,1080.0,0.0,0.00588507020893303
10,240000000.0002433,1.013855666087693e-06,50.00000001225465,183.0,0.6310273244188623,1.840803232067145e-08,15.709999999999939,11.759999999999899,0,1200.0,0.0,0.01255484605167112
12,288000000.000292,1.013855666087693e-06,49.99999999109113,183.0,0.6310273244188354,1.841594265972191e-08,15.709999999999939,11.759999999999899,0,1440.0,0.0,0.01255884285455977
14,336000000.00040245,1.1977085989656189e-06,49.9999999520562,239.0,0.598751210363767,3.820221916583932e-11,9.879999999999916,5.919999999999953,0,1680.0,0.0,4.707345624410664e-05
19,456000000.0006038,1.3240519791679617e-06,49.99999998037608,224.0,0.6243072891646052,1.202398125510484e-08,15.709999999999939,11.759999999999899,0,2280.0,0.0,0.008142819751810748
41,984000000.0012839,1.304734098539484e-06,49.99999998565702,6.0,0.3806856424842356,1.076732625282517e-07,15.709999999999939,11.759999999999899,0,4920.0,0.0,0.10191580912533027
