hypothetical_effective_L_nh,Ctotal_at_fmax_pf,Ctotal_at_fmin_pf
2,0.8175232037867709,1.7528781958744415
3,0.5450154691911806,1.1685854639162943
4,0.40876160189338545,0.8764390979372207
5,0.32700928151470837,0.7011512783497766
