block,provisional_budget_fs,maximum_simulated_fs,all_wide_windows_within_block_budget
reference,65,59.55094778644512,True
reference_buffer,45,36.72859601742141,True
sampler,30,28.575930984839882,True
charge_pump,45,18.122326389926044,True
filter_resistor,30,27.751141803909768,True
vco,125,129.18805381897263,False
retimer,40,44.361695188529396,False
output_buffer,40,44.361695188529396,False
