k,m,n,fout_hz,fvco_hz,method,design_crossover_hz,window,high_hz,reference_fs,reference_buffer_fs,sampler_fs,charge_pump_fs,retimer_fs,output_buffer_fs,vco_fs,filter_resistor_fs,total_fs,below_200fs_in_hypothesis
14,8,112,336000000,2688000000,hybrid,1000000,10k_to_fout_over_2,168000000.0,59.550939960994214,36.728591074572186,28.57592718150824,18.12232397792355,25.922191265400397,25.922191265400397,127.66396806590848,27.75113316491616,156.37276050346804,True
15,8,120,360000000,2880000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,26.636266570834188,16.89222712855173,6.3213922517116385,6.3213922517116385,115.53293516282112,25.860623925498203,141.33020937100864,True
15,8,120,360000000,2880000000,hybrid,1000000,10k_to_fout_over_2,180000000.0,59.55094209452437,36.72859242198846,26.67086634784865,16.914169666571123,26.83207036365253,26.83207036365253,119.25947875527186,25.90105939402583,149.0849979159952,True
16,8,128,384000000,3072000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,24.97149991015705,15.83646293301725,6.3213922517116385,6.3213922517116385,108.3121267151448,24.244334930154565,134.74580885972017,True
16,8,128,384000000,3072000000,hybrid,1000000,10k_to_fout_over_2,192000000.0,59.55094362545758,36.72859338917637,25.003937859546248,15.857034479979697,27.71209122386834,27.71209122386834,111.90438545317396,24.282244420899595,142.89886559305512,True
17,8,136,408000000,3264000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,23.502588150736045,14.904906289898587,6.3213922517116385,6.3213922517116385,101.94082514366568,22.818197581321947,129.03444858885854,True
17,8,136,408000000,3264000000,hybrid,1000000,10k_to_fout_over_2,204000000.0,59.550944728641895,36.72859408589331,23.533118431862853,14.924268028966656,28.565013565549037,28.565013565549037,105.41367866495168,22.853878022187338,137.6158038571853,True
18,8,144,432000000,3456000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,22.196888809028486,14.076855940459776,6.3213922517116385,6.3213922517116385,96.27744596901758,21.55051993791517,124.04592023676453,True
18,8,144,432000000,3456000000,hybrid,1000000,10k_to_fout_over_2,216000000.0,59.55094553594798,36.72859459591552,22.22572327205782,14.095142223085965,29.393196491705357,29.393196491705357,99.6434328626381,21.5842188029361,133.08107603433237,True
19,6,114,456000000,2736000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,28.038175337720197,17.781291714264984,6.3213922517116385,6.3213922517116385,121.61361596086435,27.221709395261268,146.95565906176773,True
19,6,114,456000000,2736000000,hybrid,1000000,10k_to_fout_over_2,228000000.0,59.55094612696113,36.7285949691731,28.074598102646775,17.804390357468325,30.198675467642627,30.198675467642627,125.97331408247854,27.264277067864686,156.32344965681932,True
20,6,120,480000000,2880000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,26.636266570834188,16.89222712855173,6.3213922517116385,6.3213922517116385,115.53293516282112,25.860623925498203,141.33020937100864,True
20,6,120,480000000,2880000000,hybrid,1000000,10k_to_fout_over_2,240000000.0,59.550946564582084,36.72859524564234,26.670868398275587,16.9141709669139,30.983221265710906,30.983221265710906,119.7765303897611,25.901063731292716,151.0957698967576,True
21,6,126,504000000,3024000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,25.36787292460399,16.087835360525464,6.3213922517116385,6.3213922517116385,110.0313668217344,24.629165643331625,136.30335277518785,True
21,6,126,504000000,3024000000,hybrid,1000000,10k_to_fout_over_2,252000000.0,59.55094688773088,36.72859544972949,25.400827187119702,16.108734343713962,31.748385785737202,31.748385785737202,114.16937236521177,24.667680149944427,146.48910667052292,True
22,6,132,528000000,3168000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,24.214787791667447,15.35657011686521,6.3213922517116385,6.3213922517116385,105.02994105711011,23.509658114089277,131.7912432832941,True
22,6,132,528000000,3168000000,hybrid,1000000,10k_to_fout_over_2,264000000.0,59.55094712829897,36.72859560170931,24.246244233488603,15.37651920989914,32.49553815526063,32.49553815526063,109.07150213909921,23.54642227605474,142.41688566344774,True
23,6,138,552000000,3312000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,23.161970931160166,14.688893155262377,6.3213922517116385,6.3213922517116385,100.46342188071402,22.487499065650614,127.72465031957583,True
23,6,138,552000000,3312000000,hybrid,1000000,10k_to_fout_over_2,276000000.0,59.55094730638119,36.72859571417858,23.192059772615874,14.707974941463608,33.22589351695453,33.22589351695453,104.4165349575793,22.522665038055564,138.8074365607337,True
24,6,144,576000000,3456000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,22.196888809028486,14.076855940459776,6.3213922517116385,6.3213922517116385,96.27744596901758,21.55051993791517,124.04592023676453,True
24,6,144,576000000,3456000000,hybrid,1000000,10k_to_fout_over_2,288000000.0,59.5509474388936,36.72859579789388,22.225723999415848,14.095142684362946,33.940536236188144,33.940536236188144,100.14914914021239,21.584220861700356,135.60092775663765,True
25,6,150,600000000,3600000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,21.30901325666735,13.513781702841385,6.3213922517116385,6.3213922517116385,92.42634813025688,20.688499140398562,120.70666608256532,True
25,6,150,600000000,3600000000,hybrid,1000000,10k_to_fout_over_2,300000000.0,59.55094753665271,36.72859585963431,21.336695075306004,13.531336999734481,34.64043879629701,34.64043879629701,96.22286385930687,20.720852190491428,132.74701499038454,True
26,6,156,624000000,3744000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,20.489435823718605,12.994020868116717,6.3213922517116385,6.3213922517116385,88.87148858678547,19.89278763499862,117.6659896134944,True
26,6,156,624000000,3744000000,hybrid,1000000,10k_to_fout_over_2,312000000.0,59.550947608934365,36.728595905298754,20.516052982532493,13.010900977459539,35.326477322257865,35.326477322257865,92.59834780590006,19.92389646918214,130.20304435542678,True
27,6,162,648000000,3888000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,19.730567830247548,12.512760835964245,6.3213922517116385,6.3213922517116385,85.5799519724601,19.156017722591262,114.88909763221305,True
27,6,162,648000000,3888000000,hybrid,1000000,10k_to_fout_over_2,324000000.0,59.55094766173752,36.72859593864675,19.756199186302414,12.529015767447957,35.99944444015768,35.99944444015768,89.24209116514088,19.18597448708989,127.93264330096434,True
28,4,112,672000000,2688000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,28.53885704017949,18.09881478059114,6.3213922517116385,6.3213922517116385,123.7852876744512,27.707811348748073,148.98091415181926,True
28,4,112,672000000,2688000000,hybrid,1000000,10k_to_fout_over_2,336000000.0,59.55094770026662,36.72859596298798,28.575930984839882,18.122326389926044,36.660060010861955,36.660060010861955,129.18805381897263,27.751141803909768,161.8267802305914,True
29,4,116,696000000,2784000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,27.554758521552607,17.474717719191446,6.3213922517116385,6.3213922517116385,119.51682947878045,26.75236957810159,145.00810788626632,True
29,4,116,696000000,2784000000,hybrid,1000000,10k_to_fout_over_2,348000000.0,59.55094772791814,36.72859598045121,27.59055406744655,17.497418591696302,37.30898015223679,37.30898015223679,124.83512551647742,26.79420599283842,158.26674163137216,True
30,4,120,720000000,2880000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,26.636266570834188,16.89222712855173,6.3213922517116385,6.3213922517116385,115.53293516282112,25.860623925498203,141.33020937100864,True
30,4,120,720000000,2880000000,hybrid,1000000,10k_to_fout_over_2,360000000.0,59.550947747650895,36.728595992917754,26.67086894091772,16.914171311047493,37.946804872083746,37.946804872083746,120.77215395195573,25.90106588768898,155.0142831056893,True
31,4,124,744000000,2976000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,25.777032165323405,16.347316576017803,6.3213922517116385,6.3213922517116385,111.80606628660107,25.026410250482133,137.91797157913567,True
