k,m,n,fout_hz,fvco_hz,initial_code,phase0_rad,bank_scale,target_hz,selected_code,searches,trials_last_search,handoff_us,settled,settling_us,final_error_hz,final_phase_rad,control_min_v,control_max_v,rail_violation_cycles
25,6,150,600000000,3600000000,127,0.7,0.99,3600000000,41,1,8,11.75,True,13.041666666666668,-1.430511474609375e-06,-2.18364731662091e-12,0.46181602311136566,0.6,0
25,6,150,600000000,3600000000,127,0.7,1.01,3600000000,51,1,6,8.833333333333334,True,11.25,0.0,-1.4705417687699017e-13,0.5824250120261547,0.6392371673661134,0
26,6,156,624000000,3744000000,127,0.7,0.99,3744000000,23,1,8,11.75,True,14.166666666666666,3.814697265625e-06,1.057253020797553e-13,0.40215829021863425,0.6,0
26,6,156,624000000,3744000000,127,0.7,1.01,3744000000,32,1,8,11.75,True,13.333333333333334,-2.384185791015625e-06,-3.3499641632351725e-12,0.44872724390890517,0.6,0
27,6,162,648000000,3888000000,127,0.7,0.99,3888000000,7,1,8,11.75,True,12.791666666666666,0.0,5.251186437841997e-13,0.4125,0.6,0
27,6,162,648000000,3888000000,127,0.7,1.01,3888000000,16,1,8,11.75,True,13.458333333333332,4.76837158203125e-07,6.843909316710963e-14,0.6,0.7541468050316711,0
28,4,112,672000000,2688000000,127,0.7,0.99,2688000000,230,1,8,11.75,True,14.083333333333332,2.384185791015625e-06,1.7073288506116277e-12,0.5472064068186921,0.6,0
28,4,112,672000000,2688000000,127,0.7,1.01,2688000000,248,1,8,11.75,True,13.708333333333334,-4.76837158203125e-07,-4.107137885241411e-14,0.6,0.6375,0
29,4,116,696000000,2784000000,127,0.7,0.99,2784000000,201,1,8,11.75,True,14.083333333333332,4.76837158203125e-07,-1.223083511876134e-12,0.48546081669779784,0.6,0
29,4,116,696000000,2784000000,127,0.7,1.01,2784000000,218,1,8,11.75,True,13.625,-3.814697265625e-06,1.2942669073690735e-13,0.6,0.6777824297368331,0
30,4,120,720000000,2880000000,127,0.7,0.99,2880000000,175,1,8,11.75,True,12.833333333333332,0.0,1.0782586454353321e-13,0.525,0.6,0
30,4,120,720000000,2880000000,127,0.7,1.01,2880000000,191,1,8,11.75,True,13.583333333333332,-1.430511474609375e-06,2.2541968759419827e-12,0.6,0.6989959325479965,0
31,4,124,744000000,2976000000,127,0.7,0.99,2976000000,152,1,8,11.75,True,13.791666666666668,0.0,1.3713568227904002e-14,0.6,0.7020819658417364,0
31,4,124,744000000,2976000000,127,0.7,1.01,2976000000,166,1,8,11.75,True,13.958333333333334,0.0,8.037396886226167e-14,0.6,0.6655013387014221,0
32,4,128,768000000,3072000000,127,0.7,0.99,3072000000,130,1,8,11.75,True,13.5,4.76837158203125e-07,1.9987721315612617e-13,0.5474096367209217,0.6,0
32,4,128,768000000,3072000000,127,0.7,1.01,3072000000,144,1,8,11.75,True,13.708333333333334,4.76837158203125e-07,-1.0937756654214516e-12,0.6,0.696778718867411,0
33,4,132,792000000,3168000000,127,0.7,0.99,3168000000,111,1,8,11.75,True,14.0,0.0,1.999762500579803e-13,0.6,0.7164544052743818,0
33,4,132,792000000,3168000000,127,0.7,1.01,3168000000,123,1,8,11.75,True,14.166666666666666,2.384185791015625e-06,1.266304971643253e-12,0.4835014323896902,0.6,0
34,4,136,816000000,3264000000,127,0.7,0.99,3264000000,93,1,8,11.75,True,13.625,0.0,-4.1552894224319256e-13,0.6,0.6550128363923392,0
34,4,136,816000000,3264000000,127,0.7,1.01,3264000000,105,1,8,11.75,True,13.791666666666668,0.0,-4.310261548489413e-14,0.6,0.6800522153423149,0
35,4,140,840000000,3360000000,127,0.7,0.99,3360000000,77,1,8,11.75,True,13.791666666666668,0.0,8.425322385879154e-14,0.6,0.7613491315951755,0
35,4,140,840000000,3360000000,127,0.7,1.01,3360000000,88,1,8,11.75,True,13.666666666666668,0.0,-1.0585405005216568e-13,0.6,0.6823342084678612,0
36,4,144,864000000,3456000000,127,0.7,0.99,3456000000,62,1,8,11.75,True,13.541666666666666,0.0,-9.772415167715292e-16,0.6,0.7521868945940179,0
36,4,144,864000000,3456000000,127,0.7,1.01,3456000000,72,1,8,11.75,True,14.291666666666668,0.0,9.368822234679947e-13,0.5123937026781054,0.6,0
37,4,148,888000000,3552000000,127,0.7,0.99,3552000000,48,1,8,11.75,True,13.916666666666666,0.0,-3.9832437434767196e-15,0.6,0.7075905785910058,0
37,4,148,888000000,3552000000,127,0.7,1.01,3552000000,58,1,8,11.75,True,13.75,-4.76837158203125e-07,3.90401422199341e-15,0.6,0.7010214517413729,0
38,4,152,912000000,3648000000,127,0.7,0.99,3648000000,35,1,8,11.75,True,14.541666666666666,4.76837158203125e-07,3.517574275868234e-14,0.5590916729883024,0.6112981718889193,0
38,4,152,912000000,3648000000,127,0.7,1.01,3648000000,45,1,8,11.75,True,13.583333333333332,4.76837158203125e-07,3.326335040842729e-14,0.6,0.7853977659941408,0
39,4,156,936000000,3744000000,127,0.7,0.99,3744000000,23,1,8,11.75,True,14.166666666666666,3.814697265625e-06,1.057253020797553e-13,0.40215829021863425,0.6,0
39,4,156,936000000,3744000000,127,0.7,1.01,3744000000,32,1,8,11.75,True,13.333333333333334,-2.384185791015625e-06,-3.3499641632351725e-12,0.44872724390890517,0.6,0
40,4,160,960000000,3840000000,127,0.7,0.99,3840000000,13,1,8,11.75,True,14.083333333333332,2.384185791015625e-06,6.212027545911964e-13,0.6,0.8322867031614385,0
40,4,160,960000000,3840000000,127,0.7,1.01,3840000000,21,1,7,10.291666666666666,True,12.166666666666666,-2.384185791015625e-06,-3.235469194618975e-13,0.5847386168243065,0.6015149264982199,0
41,4,164,984000000,3936000000,127,0.7,0.99,3936000000,2,1,8,11.75,True,13.958333333333334,4.291534423828125e-06,-2.452289464575794e-13,0.3589168427513503,0.6,0
41,4,164,984000000,3936000000,127,0.7,1.01,3936000000,11,1,8,11.75,True,14.083333333333332,-1.430511474609375e-06,-3.0324713389099736e-12,0.6,0.825,0
